City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
209,Qui Nhon,13.7667,109.2333,77.72,heavy intensity rain,89,93,7.36,VN
210,Jerusalem,31.769,35.2163,68.2,clear sky,83,6,5.01,IL
211,Lodja,-3.4833,23.4333,71.06,light rain,94,98,3.22,CD
212,Iqaluit,63.7506,-68.5145,28.13,broken clouds,63,75,0.0,CA
213,Saint George,37.1041,-113.5841,83.43,clear sky,31,0,3.0,US
214,Vardo,70.3705,31.1107,44.58,clear sky,76,0,19.57,NO
215,Castro,-24.7911,-50.0119,65.08,overcast clouds,61,91,10.63,BR
216,Tura,25.5198,90.2201,72.46,few clouds,94,13,0.98,IN
217,Sterling,39.0062,-77.4286,81.14,few clouds,40,20,9.22,US
218,Bambous Virieux,-20.3428,57.7575,71.85,scattered clouds,73,40,14.97,MU
219,Khani,41.9563,42.9566,54.97,clear sky,77,0,5.17,GE
220,Dinghai,26.2847,119.7936,68.92,overcast clouds,80,100,19.37,CN
221,Maceio,-9.6658,-35.7353,83.64,scattered clouds,61,40,13.8,BR
222,Garmsar,35.2182,52.3409,72.9,clear sky,37,0,7.2,IR
223,Ostrovnoy,68.0531,39.5131,41.32,clear sky,84,7,14.07,RU
224,Mandalgovi,45.7625,106.2708,25.27,light snow,92,100,28.54,MN
225,Porto Velho,-8.7619,-63.9039,96.85,scattered clouds,36,40,6.91,BR
226,North Platte,41.1239,-100.7654,41.32,overcast clouds,90,100,1.01,US
227,Butte,39.6499,-121.5677,91.98,clear sky,31,0,0.0,US
228,Husavik,66.0449,-17.3389,36.07,overcast clouds,85,100,8.79,IS
229,Karatuzskoye,53.6072,92.8667,30.13,overcast clouds,85,95,4.27,RU
230,Tsabong,-26.0217,22.401,78.96,clear sky,12,0,9.51,BW
231,Jumla,29.2747,82.1838,55.0,overcast clouds,92,100,3.87,NP
232,Bourail,-21.5667,165.4833,69.51,clear sky,84,0,4.79,NC
233,Belmonte,-15.8631,-38.8828,79.48,clear sky,75,5,12.15,BR
234,Paita,-5.0892,-81.1144,69.85,scattered clouds,71,32,17.27,PE
235,Chivilcoy,-34.8957,-60.0167,85.23,clear sky,14,7,11.34,AR
236,Teya,60.3778,92.6267,33.31,overcast clouds,92,100,8.63,RU
237,Yerbogachen,61.2767,108.0108,30.67,overcast clouds,90,100,8.72,RU
238,Marsh Harbour,26.5412,-77.0636,80.4,broken clouds,69,62,16.84,BS
239,Preobrazheniye,42.9019,133.9064,42.28,clear sky,68,2,7.47,RU
240,Ardrishaig,56.0157,-5.4481,49.26,scattered clouds,82,50,15.57,GB
241,Maniitsoq,65.4167,-52.9,31.15,overcast clouds,83,100,4.14,GL
242,Mehran,33.1222,46.1646,90.12,clear sky,11,0,8.28,IR
243,Lalmohan,22.3384,90.7419,80.91,broken clouds,83,55,7.65,BD
244,Stettler,52.3168,-112.7186,62.74,clear sky,55,4,2.3,CA
245,Dallas,32.7668,-96.7836,88.77,broken clouds,40,75,3.44,US
246,Yumen,40.2833,97.2,45.86,broken clouds,27,84,6.69,CN
247,Soe,-9.8607,124.284,67.26,clear sky,86,3,3.58,ID
248,Roald,62.5833,6.1333,52.75,broken clouds,81,75,18.41,NO
249,Puri,19.8,85.85,81.12,broken clouds,81,80,8.52,IN
250,Xinqing,48.2333,129.5,28.24,broken clouds,71,82,0.83,CN
251,Mitsamiouli,-11.3847,43.2844,76.55,clear sky,77,1,4.43,KM
252,Pangnirtung,66.1451,-65.7125,30.2,broken clouds,55,75,9.22,CA
253,Farafangana,-22.8167,47.8333,69.46,clear sky,83,0,10.2,MG
254,Sur,22.5667,59.5289,79.59,clear sky,76,0,6.71,OM
255,Bengkulu,-3.8004,102.2655,74.44,light rain,79,100,3.29,ID
256,Wasilla,61.5814,-149.4394,53.94,light rain,76,100,4.61,US
257,Nanakuli,21.3906,-158.1547,82.04,clear sky,67,0,8.05,US
258,Moose Factory,51.2585,-80.6094,42.8,broken clouds,61,75,8.05,CA
259,Sorland,67.667,12.6934,48.7,overcast clouds,73,100,12.59,NO
260,Sokoni,-6.4333,39.55,76.06,broken clouds,81,63,14.94,TZ
261,Bonthe,7.5264,-12.505,77.97,overcast clouds,83,98,6.89,SL
262,Omboue,-1.5746,9.2618,75.67,light rain,87,89,6.71,GA
263,Mirandela,41.4874,-7.187,80.29,few clouds,39,13,4.41,PT
264,Khor,47.8861,134.9464,31.98,few clouds,73,11,4.47,RU
265,Nouadhibou,20.931,-17.0347,75.18,sand,64,10,20.71,MR
266,Adrar,20.5022,-10.0711,96.64,clear sky,13,2,5.08,MR
267,Talnakh,69.4865,88.3972,31.21,overcast clouds,90,100,12.5,RU
268,Kungurtug,50.5994,97.5228,16.36,clear sky,82,4,1.68,RU
269,Acapulco,16.8634,-99.8901,85.82,few clouds,62,20,8.05,MX
270,Izumo,35.3667,132.7667,64.35,overcast clouds,82,100,9.64,JP
271,Lavrentiya,65.5833,-171.0,34.23,few clouds,66,13,15.19,RU
272,Byron Bay,-28.65,153.6167,64.31,broken clouds,87,56,11.1,AU
273,Pandan,14.0453,124.1694,80.19,scattered clouds,87,49,9.75,PH
274,Maltahohe,-24.8333,16.9833,76.68,clear sky,11,0,11.68,NA
275,Wijnegem,51.2287,4.5161,59.07,clear sky,73,0,5.99,BE
276,Bhawanipatna,19.9,83.1667,73.29,overcast clouds,94,92,4.0,IN
277,Camana,-16.6228,-72.7111,65.39,broken clouds,68,55,6.87,PE
278,Havre-Saint-Pierre,50.2334,-63.5986,42.8,overcast clouds,93,100,17.27,CA
279,Melito Di Porto Salvo,37.9222,15.7714,71.78,broken clouds,68,84,3.44,IT
280,Ransang,8.9603,117.5828,79.02,overcast clouds,80,95,2.71,PH
281,Amazar,53.858,120.875,29.32,overcast clouds,93,98,3.02,RU
282,Bonfim,3.0833,-59.95,95.23,broken clouds,36,77,8.25,BR
283,Christchurch,-43.5333,172.6333,46.9,clear sky,85,9,5.75,NZ
284,Zavidovici,44.4458,18.1497,53.92,overcast clouds,71,100,2.19,BA
285,Codrington,-38.2667,141.9667,47.71,overcast clouds,70,92,8.93,AU
286,Hasaki,35.7333,140.8333,54.0,overcast clouds,83,100,13.73,JP
